seed,mode,sec_idx,sec_mean,sec_var,equil_price,total_demand,supply,excess,tat_iters,converged,max_rel_excess
6,correlated,20,1.475901333749649,1.475901333749649,1,0,20,-20,500,false,62.0
6,correlated,10,4.864016931712847,4.864016931712847,1,0,20,-20,500,false,62.0
6,correlated,11,2.2821849138837313,2.2821849138837313,1,0,20,-20,500,false,62.0
6,correlated,18,3.920101793234631,3.920101793234631,1,0,20,-20,500,false,62.0
6,correlated,17,3.127139140794332,3.127139140794332,1,0,20,-20,500,false,62.0
6,correlated,9,7.452672540384724,7.452672540384724,5,0,20,-20,500,false,62.0
6,correlated,13,6.982265109255277,6.982265109255277,4,0,20,-20,500,false,62.0
6,correlated,12,3.444410965810506,3.444410965810506,1,0,20,-20,500,false,62.0
6,correlated,14,5.718478327221427,5.718478327221427,1,1260,20,1240,500,false,62.0
6,correlated,15,9.046686580836175,9.046686580836175,10,20,20,0,500,false,62.0
6,correlated,3,6.644749129692086,6.644749129692086,2,120,20,100,500,false,62.0
6,independent,6,5.408841515020064,5.408841515020064,1,0,20,-20,500,false,73.0
6,independent,5,9.501316610126269,9.501316610126269,10,40,20,20,500,false,73.0
6,independent,8,5.269835580190138,5.269835580190138,1,0,20,-20,500,false,73.0
6,independent,1,6.951899059437814,6.951899059437814,1,1480,20,1460,500,false,73.0
6,independent,4,4.425143829778039,4.425143829778039,1,0,20,-20,500,false,73.0
6,independent,7,8.99050206424095,8.99050206424095,6,80,20,60,500,false,73.0
6,independent,16,9.377630006534734,9.377630006534734,9,0,20,-20,500,false,73.0
6,independent,19,6.807581419678271,6.807581419678271,1,0,20,-20,500,false,73.0
6,independent,2,3.4981293533883626,3.4981293533883626,1,0,20,-20,500,false,73.0
6,independent,20,1.475901333749649,1.475901333749649,1,0,20,-20,500,false,73.0
6,independent,10,4.864016931712847,4.864016931712847,1,0,20,-20,500,false,73.0
6,independent,11,2.2821849138837313,2.2821849138837313,1,0,20,-20,500,false,73.0
6,independent,18,3.920101793234631,3.920101793234631,1,0,20,-20,500,false,73.0
6,independent,17,3.127139140794332,3.127139140794332,1,0,20,-20,500,false,73.0
6,independent,9,7.452672540384724,7.452672540384724,3,0,20,-20,500,false,73.0
6,independent,13,6.982265109255277,6.982265109255277,2,0,20,-20,500,false,73.0
6,independent,12,3.444410965810506,3.444410965810506,1,0,20,-20,500,false,73.0
6,independent,14,5.718478327221427,5.718478327221427,1,0,20,-20,500,false,73.0
6,independent,15,9.046686580836175,9.046686580836175,7,0,20,-20,500,false,73.0
6,independent,3,6.644749129692086,6.644749129692086,1,0,20,-20,500,false,73.0
7,correlated,4,2.6419059446374322,2.6419059446374322,1,0,20,-20,500,false,74.0
7,correlated,3,9.988536956926358,9.988536956926358,10,20,20,0,500,false,74.0
7,correlated,1,5.9308461389880085,5.9308461389880085,1,0,20,-20,500,false,74.0
7,correlated,5,8.321559546907693,8.321559546907693,3,0,20,-20,500,false,74.0
7,correlated,15,3.912917647717336,3.912917647717336,1,0,20,-20,500,false,74.0
7,correlated,12,8.669082553053492,8.669082553053492,3,40,20,20,500,false,74.0
7,correlated,17,6.1358923718872,6.1358923718872,1,0,20,-20,500,false,74.0
7,correlated,16,6.990724919736315,6.990724919736315,1,0,20,-20,500,false,74.0
7,correlated,10,7.931345427542172,7.931345427542172,2,0,20,-20,500,false,74.0
