seed,mode,agent_idx,cons,sec_count,n_sec_types,utility,tat_iters,converged
6,correlated,10,391,20,12,10.687257265840316,500,false
6,correlated,11,391,20,12,10.687257265840316,500,false
6,correlated,12,391,20,12,10.687257265840316,500,false
6,correlated,13,391,20,12,10.687257265840316,500,false
6,correlated,14,391,20,12,10.687257265840316,500,false
6,correlated,15,391,20,12,10.687257265840316,500,false
6,correlated,16,391,20,12,10.687257265840316,500,false
6,correlated,17,391,20,12,10.687257265840316,500,false
6,correlated,18,391,20,12,10.687257265840316,500,false
6,correlated,19,391,20,12,10.687257265840316,500,false
6,correlated,20,391,20,12,10.687257265840316,500,false
6,independent,1,377,19,5,10.6727714274694,500,false
6,independent,2,377,19,5,10.6727714274694,500,false
6,independent,3,377,19,5,10.6727714274694,500,false
6,independent,4,377,19,5,10.6727714274694,500,false
6,independent,5,377,19,5,10.6727714274694,500,false
6,independent,6,377,19,5,10.6727714274694,500,false
6,independent,7,377,19,5,10.6727714274694,500,false
6,independent,8,377,19,5,10.6727714274694,500,false
6,independent,9,377,19,5,10.6727714274694,500,false
6,independent,10,377,19,5,10.6727714274694,500,false
6,independent,11,377,19,5,10.6727714274694,500,false
6,independent,12,377,19,5,10.6727714274694,500,false
6,independent,13,377,19,5,10.6727714274694,500,false
6,independent,14,377,19,5,10.6727714274694,500,false
6,independent,15,377,19,5,10.6727714274694,500,false
6,independent,16,377,19,5,10.6727714274694,500,false
6,independent,17,377,19,5,10.6727714274694,500,false
6,independent,18,377,19,5,10.6727714274694,500,false
6,independent,19,377,19,5,10.6727714274694,500,false
6,independent,20,377,19,5,10.6727714274694,500,false
7,correlated,1,420,21,11,10.837333200500655,500,false
7,correlated,2,420,21,11,10.837333200500655,500,false
7,correlated,3,420,21,11,10.837333200500655,500,false
7,correlated,4,420,21,11,10.837333200500655,500,false
7,correlated,5,420,21,11,10.837333200500655,500,false
7,correlated,6,420,21,11,10.837333200500655,500,false
7,correlated,7,420,21,11,10.837333200500655,500,false
7,correlated,8,420,21,11,10.837333200500655,500,false
7,correlated,9,420,21,11,10.837333200500655,500,false
7,correlated,10,420,21,11,10.837333200500655,500,false
7,correlated,11,420,21,11,10.837333200500655,500,false
7,correlated,12,420,21,11,10.837333200500655,500,false
7,correlated,13,420,21,11,10.837333200500655,500,false
7,correlated,14,420,21,11,10.837333200500655,500,false
7,correlated,15,420,21,11,10.837333200500655,500,false
7,correlated,16,420,21,11,10.837333200500655,500,false
7,correlated,17,420,21,11,10.837333200500655,500,false
7,correlated,18,420,21,11,10.837333200500655,500,false
7,correlated,19,420,21,11,10.837333200500655,500,false
7,correlated,20,420,21,11,10.837333200500655,500,false
7,independent,1,384,21,7,10.775165714290289,500,false
7,independent,2,384,21,7,10.775165714290289,500,false
7,independent,3,384,21,7,10.775165714290289,500,false
7,independent,4,384,21,7,10.775165714290289,500,false
7,independent,5,384,21,7,10.775165714290289,500,false
7,independent,6,384,21,7,10.775165714290289,500,false
7,independent,7,384,21,7,10.775165714290289,500,false
7,independent,8,384,21,7,10.775165714290289,500,false
7,independent,9,384,21,7,10.775165714290289,500,false
7,independent,10,384,21,7,10.775165714290289,500,false
7,independent,11,384,21,7,10.775165714290289,500,false
7,independent,12,384,21,7,10.775165714290289,500,false
7,independent,13,384,21,7,10.775165714290289,500,false
7,independent,14,384,21,7,10.775165714290289,500,false
7,independent,15,384,21,7,10.775165714290289,500,false
7,independent,16,384,21,7,10.775165714290289,500,false
7,independent,17,384,21,7,10.775165714290289,500,false
7,independent,18,384,21,7,10.775165714290289,500,false
7,independent,19,384,21,7,10.775165714290289,500,false
7,independent,20,384,21,7,10.775165714290289,500,false
8,correlated,1,415,18,11,10.815781658276617,500,false
8,correlated,2,415,18,11,10.815781658276617,500,false
8,correlated,3,415,18,11,10.815781658276617,500,false
8,correlated,4,415,18,11,10.815781658276617,500,false
8,correlated,5,415,18,11,10.815781658276617,500,false
8,correlated,6,415,18,11,10.815781658276617,500,false
8,correlated,7,415,18,11,10.815781658276617,500,false
8,correlated,8,415,18,11,10.815781658276617,500,false
8,correlated,9,415,18,11,10.815781658276617,500,false
8,correlated,10,415,18,11,10.815781658276617,500,false
8,correlated,11,415,18,11,10.815781658276617,500,false
8,correlated,12,415,18,11,10.815781658276617,500,false
8,correlated,13,415,18,11,10.815781658276617,500,false
8,correlated,14,415,18,11,10.815781658276617,500,false
8,correlated,15,415,18,11,10.815781658276617,500,false
8,correlated,16,415,18,11,10.815781658276617,500,false
8,correlated,17,415,18,11,10.815781658276617,500,false
8,correlated,18,415,18,11,10.815781658276617,500,false
8,correlated,19,415,18,11,10.815781658276617,500,false
8,correlated,20,415,18,11,10.815781658276617,500,false
8,independent,1,395,20,8,10.790946582037073,500,false
8,independent,2,395,20,8,10.790946582037073,500,false
8,independent,3,395,20,8,10.790946582037073,500,false
8,independent,4,395,20,8,10.790946582037073,500,false
8,independent,5,395,20,8,10.790946582037073,500,false
8,independent,6,395,20,8,10.790946582037073,500,false
8,independent,7,395,20,8,10.790946582037073,500,false
8,independent,8,395,20,8,10.790946582037073,500,false
8,independent,9,395,20,8,10.790946582037073,500,false
8,independent,10,395,20,8,10.790946582037073,500,false
8,independent,11,395,20,8,10.790946582037073,500,false
8,independent,12,395,20,8,10.790946582037073,500,false
8,independent,13,395,20,8,10.790946582037073,500,false
8,independent,14,395,20,8,10.790946582037073,500,false
