seed,mode,sec_idx,sec_mean,sec_var,equil_price,total_demand,supply,excess,tat_iters,converged
175,independent,11,9.654428839392475,9.654428839392475,138,20,20,0,500,false
175,independent,18,1.5934900480346275,1.5934900480346275,6,0,20,-20,500,false
175,independent,7,7.170135282461347,7.170135282461347,44,80,20,60,500,false
175,independent,2,4.148887828849415,4.148887828849415,20,0,20,-20,500,false
175,independent,19,5.0802806036028665,5.0802806036028665,25,0,20,-20,500,false
175,independent,4,2.7790879487399076,2.7790879487399076,10,220,20,200,500,false
175,independent,14,7.538665866818022,7.538665866818022,54,0,20,-20,500,false
175,independent,3,2.6141949593305607,2.6141949593305607,15,0,20,-20,500,false
175,independent,17,5.707327768433629,5.707327768433629,30,0,20,-20,500,false
175,independent,5,3.145035102916939,3.145035102916939,14,0,20,-20,500,false
175,independent,9,2.6495278017171016,2.6495278017171016,12,0,20,-20,500,false
175,independent,20,8.323674225970063,8.323674225970063,74,20,20,0,500,false
175,independent,16,2.778555478478016,2.778555478478016,12,0,20,-20,500,false
175,independent,6,6.737634046986927,6.737634046986927,40,0,20,-20,500,false
175,independent,1,4.67239210033963,4.67239210033963,24,0,20,-20,500,false
175,independent,12,2.170103776479179,2.170103776479179,9,0,20,-20,500,false
176,correlated,2,1.2447166244770913,1.2447166244770913,6,0,20,-20,500,false
176,correlated,4,9.165741268765288,9.165741268765288,76,20,20,0,500,false
176,correlated,12,7.799779702968892,7.799779702968892,50,0,20,-20,500,false
176,correlated,15,6.09861567457808,6.09861567457808,29,40,20,20,500,false
176,correlated,18,2.516875260997467,2.516875260997467,11,0,20,-20,500,false
176,correlated,9,3.533110175486228,3.533110175486228,14,40,20,20,500,false
176,correlated,8,9.753925298354202,9.753925298354202,104,20,20,0,500,false
176,correlated,19,5.434520211231326,5.434520211231326,25,40,20,20,500,false
176,correlated,7,2.3308255653194636,2.3308255653194636,9,60,20,40,500,false
176,correlated,10,6.08645325041477,6.08645325041477,30,20,20,0,500,false
176,correlated,5,2.2715403793381865,2.2715403793381865,10,0,20,-20,500,false
176,correlated,11,3.548121381037491,3.548121381037491,15,0,20,-20,500,false
176,correlated,16,3.2748037736357736,3.2748037736357736,13,40,20,20,500,false
176,correlated,3,3.6957188299991333,3.6957188299991333,15,20,20,0,500,false
176,correlated,6,1.6126500106215653,1.6126500106215653,7,0,20,-20,500,false
176,correlated,13,6.782226403604168,6.782226403604168,37,0,20,-20,500,false
176,correlated,14,2.7461127464724298,2.7461127464724298,11,0,20,-20,500,false
176,correlated,17,8.303865752035918,8.303865752035918,54,40,20,20,500,false
176,correlated,1,5.894036173429725,5.894036173429725,30,0,20,-20,500,false
176,correlated,20,9.588662567994607,9.588662567994607,90,20,20,0,500,false
